N_BFS;N_CNC;Situacao_CNC;Data_Sincronizacao;Data_Fiscalizacao;Data_Execução;Fiscal;Regional;Area;Setor;Turno;Servico;Responsividade;Endereco;Coordenada;Fiscal_Contratada
10284;11231;Regularizado;03/11/2025 09:14:58;03/11/2025 09:14:50;03/11/2025 09:51:39;SELIMP - Claudio Rogério Ulhoa Cintra ;Santana/Tucuruvi;Santana/Tucuruvi;0;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Adolfo Samuel, 14 - Parque Mandaqui, São Paulo - SP, 02418-100, Brasil;-23.46974875608595,-46.627836537228795;Maiarde de Freitas Nogueira
10293;11238;Regularizado;03/11/2025 09:21:03;03/11/2025 09:20:54;03/11/2025 11:33:11;SELIMP - Claudio Rogério Ulhoa Cintra ;Santana/Tucuruvi;Santana/Tucuruvi;0;Manhã;Varrição manual de vias e logradouros públicos;6;R. Cel. Antônio Agostinho Bezerra, 1 - Parque Mandaqui, São Paulo - SP, 02418-110, Brasil;-23.469931952119765,-46.627765329106595;Maiarde de Freitas Nogueira
10302;11245;Regularizado;03/11/2025 09:23:31;03/11/2025 09:23:25;03/11/2025 10:10:45;José de Arimatea de Souza Almeida;Santana/Tucuruvi;Santana/Tucuruvi;38;Manhã;Varrição manual de vias e logradouros públicos;6;R. Gaurama, 531 - Água Fria, São Paulo - SP, 02339-020, Brasil;-23.4788147,-46.6170801;Matheus Norberto Portela
10423;11327;Regularizado;03/11/2025 10:03:30;03/11/2025 10:03:24;03/11/2025 10:56:08;José de Arimatea de Souza Almeida;Santana/Tucuruvi;Santana/Tucuruvi;02;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Praça Srg. Tranqüilino Santana, 1017 - Vila Aurora (Zona Norte), São Paulo - SP, 02408-070, Brasil;-23.4829136,-46.6300795;Maiarde de Freitas Nogueira
10442;11337;Regularizado;03/11/2025 10:09:25;03/11/2025 10:09:20;03/11/2025 11:07:46;José de Arimatea de Souza Almeida;Santana/Tucuruvi;Santana/Tucuruvi;02;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Helena do Sacramento, 654 - Vila Guaca, São Paulo - SP, 02433-020, Brasil;-23.48314283161767,-46.635680977361396;Maiarde de Freitas Nogueira
10499;11369;Regularizado;03/11/2025 10:29:57;03/11/2025 10:29:49;03/11/2025 16:05:39;José de Arimatea de Souza Almeida;Santana/Tucuruvi;Santana/Tucuruvi;02;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Rua Lacerda Marques, 613 - Lauzane Paulista, São Paulo - SP, 02441-200, Brasil;-23.4770462,-46.6428317;Adriano Terto dos Santos
10518;11382;Regularizado;03/11/2025 10:34:56;03/11/2025 10:34:51;03/11/2025 12:14:18;José de Arimatea de Souza Almeida;Santana/Tucuruvi;Santana/Tucuruvi;02;Manhã;Limpeza e desobstrução de bueiros, bocas de lobo e bocas de leão;6;R. Valorbe, 187 - Lauzane Paulista, São Paulo - SP, 02442-140, Brasil;-23.47474653703959,-46.6427642594875;Maiarde de Freitas Nogueira
10679;11470;Regularizado;03/11/2025 13:04:13;03/11/2025 13:04:06;03/11/2025 13:38:51;SELIMP - Claudio Rogério Ulhoa Cintra ;Santana/Tucuruvi;Santana/Tucuruvi;0;Tarde;Varrição manual de vias e logradouros públicos;6;Av. Nova Cantareira, 1347 - Água Fria, São Paulo - SP, 02331-002, Brasil;-23.48355474,-46.61389374;Leandro Correa
10703;11489;Regularizado;03/11/2025 13:37:12;03/11/2025 13:37:02;03/11/2025 15:13:21;SELIMP - Claudio Rogério Ulhoa Cintra ;Santana/Tucuruvi;Santana/Tucuruvi;0;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Padre José Rebouças, 1062 - Vila Dom Pedro II, São Paulo - SP, 02241-170, Brasil;-23.489126402161105,-46.610253616611146;João Marques da Silva
10704;11490;Regularizado;03/11/2025 13:37:31;03/11/2025 13:37:22;03/11/2025 15:13:30;SELIMP - Claudio Rogério Ulhoa Cintra ;Santana/Tucuruvi;Santana/Tucuruvi;0;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Cap. Siqueira Barbosa, 51 - Santana, São Paulo - SP, 02241-030, Brasil;-23.489105135920635,-46.6104370892651;João Marques da Silva
10759;11544;Regularizado;03/11/2025 14:25:30;03/11/2025 14:25:25;03/11/2025 18:53:35;José de Arimatea de Souza Almeida;Santana/Tucuruvi;Santana/Tucuruvi;02;Manhã;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;Av. Guapira, 1470 - Tucuruvi, São Paulo - SP, 02265-002, Brasil;-23.474908913526633,-46.59082394838067;Adriano Terto dos Santos
10835;11603;Regularizado;03/11/2025 15:14:40;03/11/2025 15:14:32;03/11/2025 17:55:14;José de Arimatea de Souza Almeida;Santana/Tucuruvi;Santana/Tucuruvi;02;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. Profa. Anésia Sincorá, 245 - Lauzane Paulista, São Paulo - SP, 02443-100, Brasil;-23.4738164,-46.6489259;Adriano Terto dos Santos
10869;11625;Regularizado;03/11/2025 18:05:37;03/11/2025 18:05:30;04/11/2025 00:31:44;SELIMP - Claudio Rogério Ulhoa Cintra ;Santana/Tucuruvi;Santana/Tucuruvi;0;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. João de Laet, 320 - Vila Aurora (Zona Norte), São Paulo - SP, 02410-010, Brasil;-23.47616861191725,-46.62532747580045;Valdir Ribeiro Nunes
10870;11626;Regularizado;03/11/2025 18:05:48;03/11/2025 18:05:40;04/11/2025 00:07:13;SELIMP - Claudio Rogério Ulhoa Cintra ;Santana/Tucuruvi;Santana/Tucuruvi;0;Tarde;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;24;R. João de Laet, 280 - Vila Aurora (Zona Norte), São Paulo - SP, 02410-010, Brasil;-23.47663348,-46.62532718;Valdir Ribeiro Nunes
