Numero_BFS;Data_Vistoria;Data_Fiscalizacao;Status;Fiscal;Contratada;Regionaal;Tipo_Servico;Qtd_Inspecoes;Endereco;Coordenadas_Aceite;Coordenadas_Resposta;Coordenadas_Vistoria
1269;06/10/2025 08:46:48;06/10/2025 08:45:41;Com Irregularidades;Vicente Malanga;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Varrição manual de vias e logradouros públicos;1;Av. Tucuruvi, 470 - Tucuruvi, São Paulo - SP, 02304-001, Brasil;;-23,4802876,-46,6068898;-23.48021531421982,-46.607121085829675
10835;03/11/2025 15:14:32;03/11/2025 15:13:20;Com Irregularidades;José de Arimatea de Souza Almeida;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Profa. Anésia Sincorá, 245 - Lauzane Paulista, São Paulo - SP, 02443-100, Brasil;;-23,473959,-46,6486437;-23.4738164,-46.6489259
10869;03/11/2025 18:05:30;03/11/2025 18:04:10;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. João de Laet, 320 - Vila Aurora (Zona Norte), São Paulo - SP, 02410-010, Brasil;;-23,4768114,-46,6255185;-23.47616861191725,-46.62532747580045
10870;03/11/2025 18:05:40;03/11/2025 18:02:44;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. João de Laet, 280 - Vila Aurora (Zona Norte), São Paulo - SP, 02410-010, Brasil;;-23,4765526,-46,6254552;-23.47663348,-46.62532718
10871;03/11/2025 18:05:52;03/11/2025 17:58:02;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. João de Laet, 326 - Vila Aurora (Zona Norte), São Paulo - SP, 02410-010, Brasil;;-23,4761141,-46,6253379;-23.47619568,-46.62517028
10872;03/11/2025 18:06:06;03/11/2025 17:56:58;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. João de Laet, 181b - Vila Aurora (Zona Norte), São Paulo - SP, 02410-010, Brasil;;-23,4773933,-46,6255766;-23.47742575,-46.62560887
10873;03/11/2025 18:06:16;03/11/2025 17:55:51;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. João de Laet, 155 - Vila Aurora (Zona Norte), São Paulo - SP, 02410-010, Brasil;;-23,4774482,-46,6255683;-23.4775823,-46.62564717
10874;03/11/2025 19:13:10;03/11/2025 17:48:33;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;Av. Daniel Malettini, 763 - Vila Aurora (Zona Norte), São Paulo - SP, 02411-000, Brasil;;-23,4733892,-46,6256259;-23.47356879,-46.62536091
10875;03/11/2025 19:13:23;03/11/2025 18:10:53;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Donato Luongo, 398 - Vila Vitorio Mazzei, São Paulo - SP, 02409-030, Brasil;;-23,4789541,-46,625739;-23.478958858519256,-46.62573659457135
10878;03/11/2025 19:30:25;03/11/2025 19:28:32;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Cruz de Malta, 965 - Parada Inglesa, São Paulo - SP, 02248-001, Brasil;;-23,4833157,-46,5998943;-23.48336807,-46.59984532
10880;03/11/2025 19:37:33;03/11/2025 19:36:11;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. do Amiúte, 1 - Vila Gustavo, São Paulo - SP, 02250-180, Brasil;;-23,485702,-46,5995863;-23.48570795961477,-46.599549778375604
10881;03/11/2025 19:41:06;03/11/2025 19:10:10;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Equipe de Mutirão de Zeladoria de Vias e Logradouros Públicos;1;R. William Harding, 3 - Vila Gustavo, São Paulo - SP, 02267-010, Brasil;;-23,47695,-46,60008;-23.47813966,-46.60172621
10882;03/11/2025 19:41:15;03/11/2025 18:55:11;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Ausônia, 163 - Vila Mazzei, São Paulo - SP, 02308-050, Brasil;;-23,4769969,-46,6060559;-23.47699599011581,-46.60617628963558
10885;03/11/2025 19:51:51;03/11/2025 19:48:39;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Equipe de Mutirão de Zeladoria de Vias e Logradouros Públicos;1;R. Américo Castro, 18 - Parque Rodrigues Alves, São Paulo - SP, 02249-050, Brasil;;;-23.490096140837426,-46.59913305767212
10885;03/11/2025 19:51:51;03/11/2025 19:48:39;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Equipe de Mutirão de Zeladoria de Vias e Logradouros Públicos;1;R. Américo Castro, 18 - Parque Rodrigues Alves, São Paulo - SP, 02249-050, Brasil;;-23,4900771,-46,5991297;-23.490096140837426,-46.59913305767212
10886;03/11/2025 19:57:25;03/11/2025 19:55:10;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Cap. Francisco Lipi, 1130 - Vila Dom Pedro II, São Paulo - SP, 02243-000, Brasil;;-23,4909897,-46,5988292;-23.49102562,-46.59930546
10887;03/11/2025 19:57:38;03/11/2025 19:52:52;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Equipe de Mutirão de Zeladoria de Vias e Logradouros Públicos;1;R. Cruz de Malta, 147 - Parada Inglesa, São Paulo - SP, 02248-000, Brasil;;;-23.490588100100894,-46.599173940678526
10887;03/11/2025 19:57:38;03/11/2025 19:52:52;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Equipe de Mutirão de Zeladoria de Vias e Logradouros Públicos;1;R. Cruz de Malta, 147 - Parada Inglesa, São Paulo - SP, 02248-000, Brasil;;-23,4909017,-46,5990967;-23.490588100100894,-46.599173940678526
10888;03/11/2025 20:07:16;03/11/2025 20:04:19;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Paulo de Avelar, 850 - Vila Dom Pedro II, São Paulo - SP, 02243-010, Brasil;;-23,4924116,-46,6020509;-23.49247703,-46.60263407
10889;03/11/2025 22:21:11;03/11/2025 21:06:44;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Verde Mar, 16 - Água Fria, São Paulo - SP, 02335-030, Brasil;;-23,4849867,-46,615675;-23.484865983180686,-46.61576152593702
10890;03/11/2025 22:21:35;03/11/2025 19:41:48;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. São Marcelo, 9 - Parque Rodrigues Alves, São Paulo - SP, 02250-050, Brasil;;-23,4878573,-46,5989535;-23.487826182184925,-46.599399469182934
10891;03/11/2025 22:21:49;03/11/2025 18:53:19;Com Irregularidades;SELIMP - Claudio Rogério Ulhoa Cintra ;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Cajamar, 5 - Vila Mazzei, São Paulo - SP, 02308-090, Brasil;;-23,4769476,-46,606352;-23.47682595,-46.60633645
